iter	Passed	Remaining
0	196	19420
1	236	11609
2	280	9067
3	316	7604
4	342	6515
5	365	5729
6	389	5173
7	415	4773
8	442	4469
9	469	4224
10	493	3994
11	516	3790
12	541	3620
13	566	3482
14	591	3349
15	610	3204
16	634	3099
17	660	3009
18	682	2910
19	707	2831
20	737	2773
21	763	2706
22	790	2647
23	820	2599
24	843	2531
25	867	2468
26	890	2406
27	912	2346
28	936	2292
29	962	2246
30	986	2195
31	1011	2149332	1039	2109333	1064	2066334	1093	2030335	1120	1992336	1142	1945337	1166	1903338	1193	1866339	1220	1830440	1247	1794441	1274	1760442	1302	1726443	1330	1693444	1355	1656445	1382	1623446	1413	1593447	1440	1560448	1465	1525449	1493	1493550	1522	1463551	1553	1433552	1589	1409553	1616	1376554	1646	1347555	1679	1319556	1705	1286557	1731	1254558	1759	1222559	1784	1189660	1809	1156661	1836	1125662	1861	1093663	1890	1063664	1915	1031665	1940	999666	1965	968667	1992	937668	2018	906669	2043	875770	2070	845771	2099	816772	2127	786773	2152	756774	2179	726775	2203	695776	2237	668
77	2260	637778	2286	607
79	2310	577880	2333	547881	2358	517882	2381	487883	2403	457
84	2426	428
85	2449	398886	2472	369887	2495	340888	2519	311889	2545	282990	2571	254991	2600	226992	2629	197993	2660	169994	2687	141995	2711	112996	2737	84997	2759	56998	2782	29999	2806	0
